			00 00 70 00 00 C8	51200	
171.6	2.09E+05		12 33 82 FC E7 AB	44007	17
171.67	3.48E+04		00 22 81 E8 F9 AB	44025	18
171.74	0.00E+00		00 00 80 D4 0B AC	44043	18
171.81	7.81E+05		A5 2F 83 C2 1D AC	44061	18
171.88	3.82E+05		49 5D 82 AE 2F AC	44079	18
171.95	3.61E+05		12 58 82 9A 41 AC	44097	18
172.02	0.00E+00		00 00 80 88 53 AC	44115	18
172.09	2.04E+05		DB 31 82 74 65 AC	44133	18
172.16	1.05E+05		DB 66 81 60 77 AC	44151	18
172.23	0.00E+00		00 00 80 4C 89 AC	44169	18
172.58	0.00E+00		00 00 80 EC E2 AC	44258	89
172.65	4.27E+05		25 68 82 D8 F4 AC	44276	18
172.72	2.81E+05		92 44 82 C4 06 AD	44294	18
172.79	4.68E+03		49 12 80 B2 18 AD	44312	18
172.86	6.24E+05		17 26 83 9E 2A AD	44330	18
172.93	3.44E+05		DB 53 82 8A 3C AD	44348	18
173	2.27E+05		80 37 82 76 4E AD	44366	18
173.07	3.05E+05		5B 4A 82 64 60 AD	44384	18
173.14	0.00E+00		00 00 80 50 72 AD	44402	18
173.42	0.00E+00		00 00 80 02 BA AD	44474	72
173.49	3.95E+04		92 26 81 EE CB AD	44491	17
173.56	2.24E+05		C9 36 82 DC DD AD	44509	18
173.63	0.00E+00		00 00 80 C8 EF AD	44527	18
173.7	0.00E+00		00 00 80 B4 01 AE	44545	18
173.77	2.09E+05		00 33 82 A0 13 AE	44563	18
173.84	6.28E+05		4E 26 83 8E 25 AE	44581	18
173.91	0.00E+00		00 00 80 7A 37 AE	44599	18
174.05	0.00E+00		00 00 80 54 5B AE	44635	36
174.12	6.03E+04		DB 3A 81 40 6D AE	44653	18
174.19	1.72E+05		EE 29 82 2C 7F AE	44671	18
174.26	2.24E+05		C9 36 82 18 91 AE	44689	18
174.33	0.00E+00		00 00 80 06 A3 AE	44707	18
174.75	0.00E+00		00 00 80 90 0E AF	44814	107
174.82	1.87E+05		A5 2D 82 7E 20 AF	44832	18
174.89	2.19E+05		5B 35 82 6A 32 AF	44850	18
174.96	0.00E+00		00 00 80 56 44 AF	44868	18
175.03	1.05E+04		25 29 80 42 56 AF	44886	18
175.1	7.90E+04		25 4D 81 30 68 AF	44904	18
175.17	2.68E+05		6E 41 82 1C 7A AF	44922	18
175.24	0.00E+00		00 00 80 08 8C AF	44940	18
175.31	3.18E+05		A5 4D 82 F6 9D AF	44957	17
175.38	2.02E+04		DB 4E 80 E2 AF AF	44975	18
175.45	3.13E+05		5B 4C 82 CE C1 AF	44993	18
175.52	0.00E+00		00 00 80 BA D3 AF	45011	18
175.66	0.00E+00		00 00 80 94 F7 AF	45047	36
175.73	1.56E+05		00 26 82 80 09 B0	45065	18
175.8	9.63E+04		00 5E 81 6C 1B B0	45083	18
175.88	1.54E+05		A5 25 82 5A 2D B0	45101	18
175.95	0.00E+00		00 00 80 46 3F B0	45119	18
176.02	2.86E+05		B7 45 82 32 51 B0	45137	18
176.09	2.05E+03		00 08 80 20 63 B0	45155	18
176.16	2.93E+02		25 01 80 0C 75 B0	45173	18
176.23	8.34E+05		E9 32 83 F8 86 B0	45190	17
176.3	3.72E+05		C9 5A 82 E4 98 B0	45208	18
176.37	0.00E+00		00 00 80 D2 AA B0	45226	18
176.44	0.00E+00		00 00 80 BE BC B0	45244	18
176.51	2.86E+05		EE 45 82 AA CE B0	45262	18
176.58	2.93E+03		6E 0B 80 98 E0 B0	45280	18
176.65	1.02E+06		F2 3D 83 84 F2 B0	45298	18
176.72	3.85E+05		12 5E 82 70 04 B1	45316	18
176.79	0.00E+00		00 00 80 5C 16 B1	45334	18
176.86	1.98E+05		5B 30 82 4A 28 B1	45352	18
176.93	2.56E+05		6E 3E 82 36 3A B1	45370	18
177	4.11E+05		49 64 82 22 4C B1	45388	18
177.07	2.54E+05		12 3E 82 0E 5E B1	45406	18
177.14	8.03E+05		05 31 83 FC 6F B1	45423	17
177.21	6.15E+05		85 25 83 E8 81 B1	45441	18
177.28	9.10E+04		DB 58 81 D4 93 B1	45459	18
177.35	0.00E+00		00 00 80 C2 A5 B1	45477	18
177.56	0.00E+00		00 00 80 86 DB B1	45531	54
177.63	2.73E+05		B7 42 82 74 ED B1	45549	18
177.7	0.00E+00		00 00 80 60 FF B1	45567	18
177.77	1.47E+05		C9 23 82 4C 11 B2	45585	18
177.84	0.00E+00		00 00 80 3A 23 B2	45603	18
178.12	0.00E+00		00 00 80 EC 6A B2	45674	71
178.19	1.67E+04		25 41 80 D8 7C B2	45692	18
178.26	0.00E+00		00 00 80 C4 8E B2	45710	18
178.54	0.00E+00		00 00 80 76 D6 B2	45782	72
178.61	2.15E+05		92 34 82 64 E8 B2	45800	18
178.68	4.39E+04		DB 2A 81 50 FA B2	45818	18
178.75	0.00E+00		00 00 80 3C 0C B3	45836	18
178.89	0.00E+00		00 00 80 16 30 B3	45872	36
178.96	1.43E+05		EE 22 82 02 42 B3	45890	18
179.03	9.22E+04		00 5A 81 EE 53 B3	45907	17
179.1	0.00E+00		00 00 80 DA 65 B3	45925	18
179.52	0.00E+00		00 00 80 66 D1 B3	46033	108
179.59	7.76E+05		60 2F 83 52 E3 B3	46051	18
179.66	1.56E+05		25 26 82 40 F5 B3	46069	18
179.73	2.37E+05		C9 39 82 2C 07 B4	46087	18
179.8	0.00E+00		00 00 80 18 19 B4	46105	18
179.87	0.00E+00		00 00 80 06 2B B4	46123	18
179.94	3.48E+05		00 55 82 F2 3C B4	46140	17
180.01	2.14E+05		37 34 82 DE 4E B4	46158	18
180.08	0.00E+00		00 00 80 CA 60 B4	46176	18
180.78	0.00E+00		00 00 80 08 14 B5	46356	180
180.85	1.67E+05		B7 28 82 F4 25 B5	46373	17
180.92	0.00E+00		00 00 80 E2 37 B5	46391	18
181.06	0.00E+00		00 00 80 BA 5B B5	46427	36
181.13	1.55E+05		EE 25 82 A6 6D B5	46445	18
181.2	0.00E+00		00 00 80 94 7F B5	46463	18
181.62	0.00E+00		00 00 80 1E EB B5	46571	108
181.69	1.23E+05		B7 77 81 0C FD B5	46589	18
181.76	2.94E+05		DB 47 82 F8 0E B6	46606	17
181.83	0.00E+00		00 00 80 E4 20 B6	46624	18
181.9	1.47E+05		EE 23 82 D2 32 B6	46642	18
181.97	0.00E+00		00 00 80 BE 44 B6	46660	18
182.11	0.00E+00		00 00 80 96 68 B6	46696	36
182.18	3.12E+05		25 4C 82 84 7A B6	46714	18
182.25	0.00E+00		00 00 80 70 8C B6	46732	18
182.32	0.00E+00		00 00 80 5C 9E B6	46750	18
182.39	1.52E+05		00 25 82 48 B0 B6	46768	18
182.46	1.87E+05		92 2D 82 36 C2 B6	46786	18
182.53	3.51E+05		C9 55 82 22 D4 B6	46804	18
182.6	3.86E+04		B7 25 81 0E E6 B6	46822	18
182.67	7.15E+05		A9 2B 83 FC F7 B6	46839	17
182.74	1.93E+05		25 2F 82 E8 09 B7	46857	18
182.81	3.79E+05		80 5C 82 D4 1B B7	46875	18
182.88	3.95E+05		5B 60 82 C0 2D B7	46893	18
182.95	5.77E+05		32 23 83 AE 3F B7	46911	18
183.02	5.27E+05		29 20 83 9A 51 B7	46929	18
183.09	5.86E+05		C0 23 83 86 63 B7	46947	18
183.16	1.76E+03		DB 06 80 72 75 B7	46965	18
183.23	0.00E+00		00 00 80 60 87 B7	46983	18
183.51	0.00E+00		00 00 80 12 CF B7	47055	72
183.58	9.42E+04		00 5C 81 FE E0 B7	47072	17
183.65	3.51E+04		49 22 81 EA F2 B7	47090	18
183.72	6.14E+03		00 18 80 D8 04 B8	47108	18
183.79	8.78E+02		6E 03 80 C4 16 B8	47126	18
183.86	1.66E+05		80 28 82 B0 28 B8	47144	18
183.93	1.63E+05		B7 27 82 9E 3A B8	47162	18
184	0.00E+00		00 00 80 8A 4C B8	47180	18
184.21	0.00E+00		00 00 80 50 82 B8	47234	54
184.28	2.10E+05		5B 33 82 3C 94 B8	47252	18
184.35	0.00E+00		00 00 80 28 A6 B8	47270	18
184.42	0.00E+00		00 00 80 14 B8 B8	47288	18
184.49	5.98E+05		80 24 83 02 CA B8	47306	18
184.56	5.46E+05		52 21 83 EE DB B8	47323	17
184.63	2.66E+04		00 68 80 DA ED B8	47341	18
184.7	6.57E+05		17 28 83 C8 FF B8	47359	18
184.77	1.51E+05		EE 24 82 B4 11 B9	47377	18
184.84	0.00E+00		00 00 80 A0 23 B9	47395	18
184.91	7.44E+05		65 2D 83 8C 35 B9	47413	18
184.98	4.99E+05		C9 79 82 7A 47 B9	47431	18
185.05	8.98E+04		B7 57 81 66 59 B9	47449	18
185.12	4.33E+05		B7 69 82 52 6B B9	47467	18
185.19	1.57E+05		5B 26 82 40 7D B9	47485	18
185.26	0.00E+00		00 00 80 2C 8F B9	47503	18
185.33	2.93E+02		25 01 80 18 A1 B9	47521	18
185.4	0.00E+00		00 00 80 04 B3 B9	47539	18
185.68	0.00E+00		00 00 80 B6 FA B9	47610	71
185.75	7.61E+03		B7 1D 80 A4 0C BA	47628	18
185.82	4.59E+04		DB 2C 81 90 1E BA	47646	18
185.89	0.00E+00		00 00 80 7C 30 BA	47664	18
186.17	0.00E+00		00 00 80 2E 78 BA	47736	72
186.24	1.61E+05		49 27 82 1C 8A BA	47754	18
186.31	0.00E+00		00 00 80 08 9C BA	47772	18
186.38	4.62E+05		C9 70 82 F4 AD BA	47789	17
186.45	7.35E+05		E0 2C 83 E0 BF BA	47807	18
186.52	1.10E+05		25 6B 81 CE D1 BA	47825	18
186.59	7.67E+05		D7 2E 83 BA E3 BA	47843	18
186.66	5.62E+05		45 22 83 A6 F5 BA	47861	18
186.73	1.55E+05		DB 25 82 94 07 BB	47879	18
186.8	5.00E+05		00 7A 82 80 19 BB	47897	18
186.87	8.29E+05		92 32 83 6C 2B BB	47915	18
186.94	7.79E+05		92 2F 83 58 3D BB	47933	18
187.01	8.15E+05		BB 31 83 46 4F BB	47951	18
187.08	5.32E+05		7B 20 83 32 61 BB	47969	18
187.15	2.81E+05		A5 44 82 1E 73 BB	47987	18
187.22	0.00E+00		00 00 80 0C 85 BB	48005	18
187.57	0.00E+00		00 00 80 AA DE BB	48094	89
187.64	2.98E+05		C9 48 82 96 F0 BB	48112	18
187.71	3.96E+05		B7 60 82 82 02 BC	48130	18
187.78	2.47E+05		49 3C 82 70 14 BC	48148	18
187.85	2.74E+05		C9 42 82 5C 26 BC	48166	18
187.92	0.00E+00		00 00 80 48 38 BC	48184	18
187.99	3.04E+04		DB 76 80 36 4A BC	48202	18
188.06	0.00E+00		00 00 80 22 5C BC	48220	18
188.48	0.00E+00		00 00 80 AC C7 BC	48327	107
188.55	1.77E+05		25 2B 82 9A D9 BC	48345	18
188.62	6.44E+03		25 19 80 86 EB BC	48363	18
188.69	0.00E+00		00 00 80 72 FD BC	48381	18
188.76	1.01E+05		49 62 81 60 0F BD	48399	18
188.83	0.00E+00		00 00 80 4C 21 BD	48417	18
189.04	0.00E+00		00 00 80 12 57 BD	48471	54
189.11	6.58E+04		49 40 81 FE 68 BD	48488	17
189.18	0.00E+00		00 00 80 EA 7A BD	48506	18
189.46	0.00E+00		00 00 80 9C C2 BD	48578	72
189.53	1.36E+05		49 21 82 8A D4 BD	48596	18
189.6	0.00E+00		00 00 80 76 E6 BD	48614	18
190.72	0.00E+00		00 00 80 3E 05 BF	48901	287
190.79	1.82E+05		5B 2C 82 2C 17 BF	48919	18
190.86	0.00E+00		00 00 80 18 29 BF	48937	18
190.93	2.55E+05		25 3E 82 04 3B BF	48955	18
191	5.76E+04		49 38 81 F0 4C BF	48972	17
191.07	0.00E+00		00 00 80 DE 5E BF	48990	18
191.14	0.00E+00		00 00 80 CA 70 BF	49008	18
191.21	2.63E+05		25 40 82 B6 82 BF	49026	18
191.28	0.00E+00		00 00 80 A4 94 BF	49044	18
191.7	0.00E+00		00 00 80 2E 00 C0	49152	108
191.77	5.12E+04		00 32 81 1A 12 C0	49170	18
191.84	0.00E+00		00 00 80 08 24 C0	49188	18
191.98	0.00E+00		00 00 80 E0 47 C0	49223	35
192.05	1.65E+05		49 28 82 CE 59 C0	49241	18
192.12	0.00E+00		00 00 80 BA 6B C0	49259	18
192.19	0.00E+00		00 00 80 A6 7D C0	49277	18
192.26	1.64E+05		00 28 82 92 8F C0	49295	18
192.33	0.00E+00		00 00 80 80 A1 C0	49313	18
192.75	0.00E+00		00 00 80 0A 0D C1	49421	108
192.82	2.17E+05		DB 34 82 F8 1E C1	49438	17
192.89	2.94E+05		C9 47 82 E4 30 C1	49456	18
192.96	1.35E+04		92 34 80 D0 42 C1	49474	18
193.03	0.00E+00		00 00 80 BC 54 C1	49492	18
193.94	0.00E+00		00 00 80 C0 3D C2	49725	233
194.01	1.34E+05		B7 20 82 AC 4F C2	49743	18
194.09	5.71E+05		D7 22 83 9A 61 C2	49761	18
194.16	1.82E+05		5B 2C 82 86 73 C2	49779	18
194.23	0.00E+00		00 00 80 72 85 C2	49797	18
194.51	0.00E+00		00 00 80 24 CD C2	49869	72
194.58	1.26E+05		25 7B 81 12 DF C2	49887	18
194.65	0.00E+00		00 00 80 FE F0 C2	49904	17
194.72	3.02E+05		A5 49 82 EA 02 C3	49922	18
194.79	0.00E+00		00 00 80 D6 14 C3	49940	18
194.86	0.00E+00		00 00 80 C4 26 C3	49958	18
194.93	3.31E+05		C9 50 82 B0 38 C3	49976	18
195	0.00E+00		00 00 80 9C 4A C3	49994	18
195.07	2.04E+05		C9 31 82 88 5C C3	50012	18
195.14	4.46E+05		DB 6C 82 76 6E C3	50030	18
195.21	0.00E+00		00 00 80 62 80 C3	50048	18
195.63	0.00E+00		00 00 80 EE EB C3	50155	107
195.7	1.68E+05		EE 28 82 DA FD C3	50173	18
195.77	2.34E+03		25 09 80 C6 0F C4	50191	18
195.84	0.00E+00		00 00 80 B2 21 C4	50209	18
195.91	0.00E+00		00 00 80 A0 33 C4	50227	18
195.98	3.13E+05		6E 4C 82 8C 45 C4	50245	18
196.05	0.00E+00		00 00 80 78 57 C4	50263	18
196.75	0.00E+00		00 00 80 B6 0A C5	50442	179
196.82	7.61E+04		49 4A 81 A2 1C C5	50460	18
196.89	1.71E+05		B7 29 82 90 2E C5	50478	18
196.96	0.00E+00		00 00 80 7C 40 C5	50496	18
197.38	0.00E+00		00 00 80 08 AC C5	50604	108
197.45	1.71E+05		DB 29 82 F4 BD C5	50621	17
197.52	1.73E+04		6E 43 80 E0 CF C5	50639	18
197.59	0.00E+00		00 00 80 CC E1 C5	50657	18
197.66	0.00E+00		00 00 80 BA F3 C5	50675	18
197.73	1.76E+04		92 44 80 A6 05 C6	50693	18
197.8	3.44E+05		00 54 82 92 17 C6	50711	18
197.87	1.38E+05		A5 21 82 7E 29 C6	50729	18
197.94	4.15E+04		92 28 81 6C 3B C6	50747	18
198.01	8.39E+05		3B 33 83 58 4D C6	50765	18
198.08	0.00E+00		00 00 80 44 5F C6	50783	18
198.15	3.04E+04		DB 76 80 32 71 C6	50801	18
198.22	0.00E+00		00 00 80 1E 83 C6	50819	18
199.06	0.00E+00		00 00 80 34 5A C7	51034	215
199.13	3.62E+05		5B 58 82 20 6C C7	51052	18
199.2	3.95E+04		92 26 81 0E 7E C7	51070	18
199.27	0.00E+00		00 00 80 FA 8F C7	51087	17
199.41	0.00E+00		00 00 80 D4 B3 C7	51123	36
199.48	5.57E+05		F7 21 83 C0 C5 C7	51141	18
199.55	2.14E+04		6E 53 80 AC D7 C7	51159	18
199.62	4.12E+05		80 64 82 98 E9 C7	51177	18
199.69	8.61E+05		89 34 83 86 FB C7	51195	18
199.76	7.43E+05		5B 2D 83 72 0D C8	51213	18
199.83	1.93E+05		25 2F 82 5E 1F C8	51231	18
199.9	4.00E+05		92 61 82 4C 31 C8	51249	18
199.97	0.00E+00		00 00 80 38 43 C8	51267	18
200.04	7.34E+05		C5 2C 83 24 55 C8	51285	18
200.11	2.96E+04		6E 73 80 10 67 C8	51303	18
200.18	0.00E+00		00 00 80 FE 78 C8	51320	17
200.25	1.33E+05		92 20 82 EA 8A C8	51338	18
200.32	2.29E+05		C9 37 82 D6 9C C8	51356	18
200.39	2.00E+05		DB 30 82 C2 AE C8	51374	18
200.46	0.00E+00		00 00 80 B0 C0 C8	51392	18
200.6	0.00E+00		00 00 80 88 E4 C8	51428	36
200.67	1.64E+05		12 28 82 76 F6 C8	51446	18
200.74	2.67E+05		25 41 82 62 08 C9	51464	18
200.81	8.78E+03		49 22 80 4E 1A C9	51482	18
200.88	0.00E+00		00 00 80 3A 2C C9	51500	18
201.44	0.00E+00		00 00 80 A0 BB C9	51643	143
201.51	3.46E+05		80 54 82 8C CD C9	51661	18
201.58	1.02E+05		00 64 81 78 DF C9	51679	18
201.65	4.31E+05		37 69 82 64 F1 C9	51697	18
201.72	0.00E+00		00 00 80 52 03 CA	51715	18
201.79	0.00E+00		00 00 80 3E 15 CA	51733	18
201.86	5.37E+05		C9 20 83 2A 27 CA	51751	18
201.93	0.00E+00		00 00 80 18 39 CA	51769	18
202	1.20E+05		6E 75 81 04 4B CA	51787	18
202.07	0.00E+00		00 00 80 F0 5C CA	51804	17
202.49	0.00E+00		00 00 80 7C C8 CA	51912	108
202.56	4.10E+04		00 28 81 68 DA CA	51930	18
202.63	6.73E+03		49 1A 80 54 EC CA	51948	18
202.7	1.73E+05		37 2A 82 42 FE CA	51966	18
202.77	0.00E+00		00 00 80 2E 10 CB	51984	18
204.59	0.00E+00		00 00 80 34 E2 CC	52450	466
204.66	2.08E+05		DB 32 82 20 F4 CC	52468	18
204.73	4.77E+04		92 2E 81 0E 06 CD	52486	18
204.8	0.00E+00		00 00 80 FA 17 CD	52503	17
204.87	2.60E+05		80 3F 82 E6 29 CD	52521	18
204.94	0.00E+00		00 00 80 D2 3B CD	52539	18
205.01	3.82E+05		25 5D 82 C0 4D CD	52557	18
205.08	0.00E+00		00 00 80 AC 5F CD	52575	18
205.22	0.00E+00		00 00 80 86 83 CD	52611	36
205.29	2.63E+04		DB 66 80 72 95 CD	52629	18
205.36	6.03E+04		DB 3A 81 5E A7 CD	52647	18
205.43	0.00E+00		00 00 80 4A B9 CD	52665	18
205.71	0.00E+00		00 00 80 FC 00 CE	52736	71
205.78	1.82E+05		6E 2C 82 EA 12 CE	52754	18
205.85	1.90E+04		49 4A 80 D6 24 CE	52772	18
205.92	1.11E+05		92 6C 81 C2 36 CE	52790	18
205.99	0.00E+00		00 00 80 B0 48 CE	52808	18
206.55	0.00E+00		00 00 80 14 D8 CE	52952	144
206.62	2.51E+05		49 3D 82 00 EA CE	52970	18
206.69	4.51E+05		12 6E 82 EC FB CE	52987	17
206.76	0.00E+00		00 00 80 DA 0D CF	53005	18
206.9	0.00E+00		00 00 80 B2 31 CF	53041	36
206.97	1.54E+05		A5 25 82 9E 43 CF	53059	18
207.04	0.00E+00		00 00 80 8C 55 CF	53077	18
207.53	0.00E+00		00 00 80 04 D3 CF	53203	126
207.6	8.31E+04		25 51 81 F0 E4 CF	53220	17
207.67	0.00E+00		00 00 80 DC F6 CF	53238	18
207.74	0.00E+00		00 00 80 C8 08 D0	53256	18
207.81	1.86E+05		49 2D 82 B6 1A D0	53274	18
207.88	0.00E+00		00 00 80 A2 2C D0	53292	18
208.09	0.00E+00		00 00 80 68 62 D0	53346	54
208.16	2.40E+05		80 3A 82 54 74 D0	53364	18
208.23	1.68E+05		EE 28 82 40 86 D0	53382	18
208.3	3.28E+05		00 50 82 2E 98 D0	53400	18
208.37	0.00E+00		00 00 80 1A AA D0	53418	18
208.44	0.00E+00		00 00 80 06 BC D0	53436	18
208.51	1.68E+05		00 29 82 F2 CD D0	53453	17
208.58	0.00E+00		00 00 80 E0 DF D0	53471	18
208.65	0.00E+00		00 00 80 CC F1 D0	53489	18
208.72	8.46E+04		92 52 81 B8 03 D1	53507	18
208.79	4.30E+04		00 2A 81 A6 15 D1	53525	18
208.86	0.00E+00		00 00 80 92 27 D1	53543	18
209.7	0.00E+00		00 00 80 A8 FE D1	53758	215
209.77	4.39E+04		DB 2A 81 94 10 D2	53776	18
209.84	1.46E+03		B7 05 80 82 22 D2	53794	18
209.91	0.00E+00		00 00 80 6E 34 D2	53812	18
210.05	0.00E+00		00 00 80 48 58 D2	53848	36
210.12	1.75E+05		B7 2A 82 34 6A D2	53866	18
210.19	1.81E+04		DB 46 80 20 7C D2	53884	18
210.26	0.00E+00		00 00 80 0C 8E D2	53902	18
210.61	0.00E+00		00 00 80 AC E7 D2	53991	89
210.68	3.04E+05		49 4A 82 98 F9 D2	54009	18
210.75	1.53E+05		49 25 82 84 0B D3	54027	18
210.82	0.00E+00		00 00 80 72 1D D3	54045	18
210.96	0.00E+00		00 00 80 4A 41 D3	54081	36
211.03	9.27E+04		92 5A 81 36 53 D3	54099	18
211.1	5.85E+02		49 02 80 24 65 D3	54117	18
211.17	0.00E+00		00 00 80 10 77 D3	54135	18
211.52	0.00E+00		00 00 80 AE D0 D3	54224	89
211.59	2.58E+05		12 3F 82 9C E2 D3	54242	18
211.66	0.00E+00		00 00 80 88 F4 D3	54260	18
212.08	0.00E+00		00 00 80 14 60 D4	54368	108
212.15	3.03E+05		DB 49 82 00 72 D4	54386	18
212.22	2.05E+04		00 50 80 EC 83 D4	54403	17
212.29	1.69E+05		5B 29 82 D8 95 D4	54421	18
212.36	1.49E+04		49 3A 80 C6 A7 D4	54439	18
212.43	0.00E+00		00 00 80 B2 B9 D4	54457	18
212.65	0.00E+00		00 00 80 78 EF D4	54511	54
212.72	2.33E+05		EE 38 82 64 01 D5	54529	18
212.79	2.93E+02		25 01 80 50 13 D5	54547	18
212.86	0.00E+00		00 00 80 3E 25 D5	54565	18
213	0.00E+00		00 00 80 16 49 D5	54601	36
213.07	2.12E+05		C9 33 82 02 5B D5	54619	18
213.14	2.43E+05		49 3B 82 F0 6C D5	54636	17
213.21	2.25E+05		00 37 82 DC 7E D5	54654	18
213.28	1.63E+05		DB 27 82 C8 90 D5	54672	18
213.35	1.05E+04		25 29 80 B6 A2 D5	54690	18
213.42	0.00E+00		00 00 80 A2 B4 D5	54708	18
213.56	0.00E+00		00 00 80 7A D8 D5	54744	36
213.63	1.00E+05		B7 61 81 68 EA D5	54762	18
213.7	0.00E+00		00 00 80 54 FC D5	54780	18
213.77	0.00E+00		00 00 80 40 0E D6	54798	18
213.84	1.55E+05		EE 25 82 2C 20 D6	54816	18
213.91	3.40E+05		12 53 82 1A 32 D6	54834	18
213.98	3.39E+04		25 21 81 06 44 D6	54852	18
214.05	2.48E+05		A5 3C 82 F2 55 D6	54869	17
214.12	0.00E+00		00 00 80 E0 67 D6	54887	18
214.89	0.00E+00		00 00 80 0A 2D D7	55085	198
214.96	3.77E+05		00 5C 82 F6 3E D7	55102	17
215.03	2.59E+05		25 3F 82 E2 50 D7	55120	18
215.1	1.15E+05		00 70 81 CE 62 D7	55138	18
215.17	0.00E+00		00 00 80 BC 74 D7	55156	18
216.64	0.00E+00		00 00 80 24 ED D8	55533	377
216.71	4.21E+05		B7 66 82 10 FF D8	55551	18
216.78	2.14E+04		6E 53 80 FC 10 D9	55568	17
216.85	0.00E+00		00 00 80 E8 22 D9	55586	18
217.06	0.00E+00		00 00 80 AE 58 D9	55640	54
217.13	2.89E+05		80 46 82 9A 6A D9	55658	18
217.2	0.00E+00		00 00 80 88 7C D9	55676	18
218.18	0.00E+00		00 00 80 78 77 DA	55927	251
218.25	2.53E+05		B7 3D 82 64 89 DA	55945	18
218.32	3.98E+04		DB 26 81 50 9B DA	55963	18
218.39	0.00E+00		00 00 80 3C AD DA	55981	18
219.09	0.00E+00		00 00 80 7A 60 DB	56160	179
219.16	2.28E+05		A5 37 82 66 72 DB	56178	18
219.23	3.81E+05		EE 5C 82 54 84 DB	56196	18
219.3	0.00E+00		00 00 80 40 96 DB	56214	18
219.44	0.00E+00		00 00 80 1A BA DB	56250	36
219.51	3.44E+05		00 54 82 06 CC DB	56268	18
219.58	0.00E+00		00 00 80 F2 DD DB	56285	17
219.65	1.89E+05		12 2E 82 DE EF DB	56303	18
219.72	5.85E+02		49 02 80 CC 01 DC	56321	18
219.79	0.00E+00		00 00 80 B8 13 DC	56339	18
219.86	9.77E+04		6E 5F 81 A4 25 DC	56357	18
219.93	0.00E+00		00 00 80 92 37 DC	56375	18
220.14	0.00E+00		00 00 80 56 6D DC	56429	54
220.21	5.56E+03		B7 15 80 44 7F DC	56447	18
220.28	0.00E+00		00 00 80 30 91 DC	56465	18
220.84	0.00E+00		00 00 80 94 20 DD	56608	143
220.91	2.51E+05		49 3D 82 80 32 DD	56626	18
220.98	0.00E+00		00 00 80 6E 44 DD	56644	18
221.26	0.00E+00		00 00 80 20 8C DD	56716	72
221.33	1.20E+05		25 75 81 0C 9E DD	56734	18
221.4	0.00E+00		00 00 80 F8 AF DD	56751	17
221.75	0.00E+00		00 00 80 98 09 DE	56841	90
221.82	1.80E+05		DB 2B 82 84 1B DE	56859	18
221.89	1.89E+05		12 2E 82 70 2D DE	56877	18
221.96	7.14E+04		B7 45 81 5E 3F DE	56895	18
222.03	1.04E+05		00 66 81 4A 51 DE	56913	18
222.1	0.00E+00		00 00 80 36 63 DE	56931	18
222.66	0.00E+00		00 00 80 9A F2 DE	57074	143
222.73	7.53E+05		F2 2D 83 88 04 DF	57092	18
222.8	0.00E+00		00 00 80 74 16 DF	57110	18
223.08	0.00E+00		00 00 80 26 5E DF	57182	72
223.15	1.86E+05		6E 2D 82 12 70 DF	57200	18
223.22	3.60E+05		DB 57 82 FE 81 DF	57217	17
223.29	0.00E+00		00 00 80 EC 93 DF	57235	18
223.64	0.00E+00		00 00 80 8A ED DF	57325	90
223.71	1.15E+05		49 70 81 76 FF DF	57343	18
223.78	3.07E+04		00 78 80 64 11 E0	57361	18
223.85	2.02E+05		37 31 82 50 23 E0	57379	18
223.92	0.00E+00		00 00 80 3C 35 E0	57397	18
223.99	0.00E+00		00 00 80 2A 47 E0	57415	18
224.06	6.23E+05		09 26 83 16 59 E0	57433	18
224.13	1.44E+05		12 23 82 02 6B E0	57451	18
224.2	1.64E+05		25 28 82 EE 7C E0	57468	17
224.27	0.00E+00		00 00 80 DC 8E E0	57486	18
224.34	0.00E+00		00 00 80 C8 A0 E0	57504	18
224.41	2.33E+05		DB 38 82 B4 B2 E0	57522	18
224.48	0.00E+00		00 00 80 A0 C4 E0	57540	18
224.55	1.38E+05		A5 21 82 8E D6 E0	57558	18
224.62	0.00E+00		00 00 80 7A E8 E0	57576	18
225.04	0.00E+00		00 00 80 06 54 E1	57684	108
225.11	2.17E+05		EE 34 82 F2 65 E1	57701	17
225.18	2.54E+05		EE 3D 82 DE 77 E1	57719	18
225.25	0.00E+00		00 00 80 CA 89 E1	57737	18
225.32	0.00E+00		00 00 80 B8 9B E1	57755	18
225.39	3.56E+05		00 57 82 A4 AD E1	57773	18
225.46	0.00E+00		00 00 80 90 BF E1	57791	18
225.53	0.00E+00		00 00 80 7E D1 E1	57809	18
225.6	5.91E+04		B7 39 81 6A E3 E1	57827	18
225.67	0.00E+00		00 00 80 56 F5 E1	57845	18
225.74	0.00E+00		00 00 80 42 07 E2	57863	18
225.81	1.79E+05		B7 2B 82 30 19 E2	57881	18
225.88	7.52E+04		6E 49 81 1C 2B E2	57899	18
225.95	0.00E+00		00 00 80 08 3D E2	57917	18
226.02	1.29E+05		00 7E 81 F6 4E E2	57934	17
226.09	3.61E+05		12 58 82 E2 60 E2	57952	18
226.16	0.00E+00		00 00 80 CE 72 E2	57970	18
226.65	0.00E+00		00 00 80 46 F0 E2	58096	126
226.72	1.71E+05		DB 29 82 32 02 E3	58114	18
226.79	0.00E+00		00 00 80 20 14 E3	58132	18
